SampleID,Date,Time,Site_type,Site_Information,Site_Location,Temp _C,EC,NOx_mgL,PO4_mgL,NH4_mgL,Notes
LM,2/24/23,10:23,Stream,Main Channel,Lower,3.8,151.7,0.033,0.016,0.013,
LS,2/24/23,10:20,Stream,Side Channel,Lower,3.5,149.6,0.032,0.016,0.012,
LC,2/24/23,10:16,Stream,Below Confluence ,Lower,7.2,131.5,0.032,0.017,0.014,Possible temp outlier?
LP1,2/24/23,10:23,Pool,Pool,Lower,1.5,151.7,0.032,0.017,0.013,"Angela breaks ice with her feet, 80 cm from left bank "
LP2,2/24/23,10:24,Pool,Pool,Lower,1.2,151.7,0.033,0.018,0.012,225 cm from left bank
LP3,2/24/23,10:24,Pool,Pool,Lower,1,151.7,0.032,0.018,0.015,290 cm from left bank
UM,2/24/23,10:44,Stream,Main Channel,Upper,4.3,171.3,0.037,0.017,0.013,
US,2/24/23,10:38,Stream,Side Channel,Upper,5.7,158.2,0.039,0.019,0.022,"EC probe dropped in water, reads in mS units now. Corrected later."
UC,2/24/23,10:36,Stream,Below Confluence ,Upper,1.3,150.8,0.037,0.019,0.014,
UP1,2/24/23,10:43,Pool,Pool,Upper,4.7,171.3,0.038,0.018,0.017,"Frozen pool, 2 m from left bank"
UP2,2/24/23,10:44,Pool,Pool,Upper,4.5,171.3,0.037,0.018,0.014,3 m from left bank
UP3,2/24/23,10:44,Pool,Pool,Upper,5.3,183.5,0.037,0.018,0.017,4 m from left bank
LM,3/3/23,9:43,Stream,Main Channel,Lower,0.6,163.3,0.037,0.017,0.011,
LMM,3/3/23,9:37,Stream,Side Channel,Lower,0.8,163.2,0.038,0.017,0.011,"LS was dry on this date. A second sample was taken between LM and LC, called Lower Main Mid (LMM). The location of sampling was flagged in the field"
LC,3/3/23,9:18,Stream,Below Confluence ,Lower,1.1,163,0.035,0.022,0.012,"4ft above flagging, right above small pool at confluence"
LP1,3/3/23,9:57,Pool,Pool,Lower,0.7,161.6,0.036,0.018,0.021,"1 m from left bank (facing downstream) signficant snow along banks, pool is accessible"
LP2,3/3/23,10:00,Pool,Pool,Lower,0.7,161.5,0.037,0.016,0.012,"2m from left bank (facing downstream)  signficant snow along banks, pool is accessible"
LP3,3/3/23,10:03,Pool,Pool,Lower,0.6,161.7,0.037,0.016,0.02,"3m from left bank (facing downstream)  signficant snow along banks, pool is accessible"
UM,3/3/23,10:20,Stream,Main Channel,Upper,0.8,160.2,0.04,0.018,0.014,
US,3/3/23,10:26,Stream,Side Channel,Upper,0.8,160.3,0.04,0.016,0.014,
UC,3/3/23,10:14,Stream,Below Confluence ,Upper,0.7,161.2,0.039,0.015,0.01,
UP1,3/3/23,10:37,Pool,Pool,Upper,0.8,160.8,0.038,0.017,0.015,1.1m from left bank (facing downstream)
UP2,3/3/23,10:40,Pool,Pool,Upper,1,159.8,0.037,0.018,0.012,2.2m from left bank (facing downstream)
UP3,3/3/23,10:46,Pool,Pool,Upper,1,159.2,0.036,0.019,0.014,3.3m from left bank (facing downstream)
LS,3/10/23,9:30,Stream,Side Channel,Lower,1.5,154.9,0.036,0.021,0.018,
LM,3/10/23,9:34,Stream,Main Channel,Lower,1.3,154.5,0.034,0.019,0.017,
LC,3/10/23,9:24,Stream,Below Confluence,Lower,2.2,156.1,0.032,0.02,0.017,Temperature may not have equilibriated
LP1,3/10/23,9:41,Pool,Pool,Lower,1.3,153.8,0.039,0.024,0.022,0.55 m from left bank 
LP2,3/10/23,10:41,Pool,Pool,Lower,1.3,154.4,0.037,0.02,0.018,1.7m from left bank 
LP3,3/10/23,11:41,Pool,Pool,Lower,1.3,154.4,0.037,0.019,0.018,2.75m from left bank 
UC,3/10/23,10:11,Stream,Below Confluence,Upper,1.5,154.1,0.039,0.022,0.016,
UM,3/10/23,10:14,Stream,Main Channel,Upper,1.5,153.9,0.039,0.022,0.015,
US,3/10/23,10:17,Stream,Side Channel,Upper,1.5,153.3,0.038,0.022,0.016,
UP1,3/10/23,10:24,Pool,Pool,Upper,1.5,154,0.039,0.021,0.013,1m from left bank 
UP2,3/10/23,10:30,Pool,Pool,Upper,1.5,153.9,0.043,0.021,0.014,3m from left bank
UP3,3/10/23,10:33,Pool,Pool,Upper,1.5,154,0.038,0.021,0.014,5.5m from left bank